"filename", "language", "HTML", "JavaScript", "Markdown", "JSON", "JavaScript JSX", "SCSS", "XML", "comment", "blank", "total"
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\JavascriptSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 2, 13
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\KotlinSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 6, 15
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\LinkedIn.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\PhpSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\PlugSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 16, 0, 0, 0, 2, 18
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\PythonSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\ReactSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 9, 0, 0, 0, 1, 10
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\SassSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 1, 12
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\ServicesSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 13
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\ShrugSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 4, 16
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\StarSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 1, 14
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\SuitcaseSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\TailwindcssSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\TaxiSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 14, 0, 0, 0, 2, 16
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\TeaSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 15, 0, 0, 0, 2, 17
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\TelegramSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 12, 0, 0, 0, 2, 14
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\ViteSVG.jsx", "JavaScript JSX", 0, 0, 0, 0, 11, 0, 0, 0, 0, 11
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\WhatElse.jsx", "JavaScript JSX", 0, 0, 0, 0, 13, 0, 0, 0, 0, 13
"c:\Users\Manwlakis\Desktop\portofolio-test\src\assets\taxi-svgrepo-com.svg", "XML", 0, 0, 0, 0, 0, 0, 6, 1, 5, 12
"c:\Users\Manwlakis\Desktop\portofolio-test\src\hooks\useAnimations.js", "JavaScript", 0, 158, 0, 0, 0, 0, 0, 17, 25, 200
"c:\Users\Manwlakis\Desktop\portofolio-test\src\main.jsx", "JavaScript JSX", 0, 0, 0, 0, 8, 0, 0, 0, 2, 10
"c:\Users\Manwlakis\Desktop\portofolio-test\src\styles\App.scss", "SCSS", 0, 0, 0, 0, 0, 20, 0, 1, 4, 25
"c:\Users\Manwlakis\Desktop\portofolio-test\src\styles\EmailAccordion.scss", "SCSS", 0, 0, 0, 0, 0, 60, 0, 0, 8, 68
"c:\Users\Manwlakis\Desktop\portofolio-test\src\styles\Portfolio.scss", "SCSS", 0, 0, 0, 0, 0, 1316, 0, 21, 215, 1552
"c:\Users\Manwlakis\Desktop\portofolio-test\src\styles\variables.scss", "SCSS", 0, 0, 0, 0, 0, 8, 0, 0, 1, 9
"c:\Users\Manwlakis\Desktop\portofolio-test\vite.config.js", "JavaScript", 0, 6, 0, 0, 0, 0, 0, 1, 2, 9
"Total", "-", 13, 201, 5, 5192, 464, 1404, 6, 41, 307, 7633
